fecha;tienda_id;facturas;producto_id;cantidad;valor
29/01/2026;70587;2;494726;2;9000
30/01/2026;70476;1;650685;1;7800
2/01/2026;70476;1;2439;1;1000
26/01/2026;70587;1;2895;1;5000
27/01/2026;70146;2;2078;2;4500
27/01/2026;70146;3;489461;3;17600
19/01/2026;5046;1;72439;1;8000
26/01/2026;70476;1;617305;1;2000
10/01/2026;5046;2;650685;2;15000
26/01/2026;5046;1;11615;1;3000
8/01/2026;5046;1;277825;1;2300
18/01/2026;5046;1;273085;1;2300
2/01/2026;5046;1;2910;1;7500
2/01/2026;5046;1;2058;1;7000
8/01/2026;5046;2;489461;2;9000
19/01/2026;70906;1;650734;1;2500
4/01/2026;70146;1;614184;1;2000
15/01/2026;70146;1;614184;1;2000
5/01/2026;70146;1;463570;1;6900
24/01/2026;70146;1;314099;1;7200
13/01/2026;70146;1;314099;1;7200
8/01/2026;70146;1;313100;1;7200
23/01/2026;70146;1;368720;1;6600
13/01/2026;70146;1;1567;1;4800
27/01/2026;70146;1;1568;1;9600
2/01/2026;70548;1;266880;1;8500
8/01/2026;70548;1;267766;1;8500
15/01/2026;70548;1;2065;1;3000
28/01/2026;70548;1;32737;1;5400
28/01/2026;70548;1;13196;1;5400
6/01/2026;70906;1;2841;1;3500
15/01/2026;70146;1;9757;1;2000
14/01/2026;70587;1;627079;1;2000
4/01/2026;70587;1;9757;1;2000
18/01/2026;70320;1;2067;1;3000
7/01/2026;70320;1;2841;1;3000
26/01/2026;70587;1;9763;1;1500
27/01/2026;70587;1;277825;1;2500
28/01/2026;70476;1;277825;1;2300
28/01/2026;70320;3;617306;3;6000
9/01/2026;70548;1;702559;1;3000
22/01/2026;70548;2;614184;2;4400
13/01/2026;70548;1;1440;1;200
16/01/2026;5046;1;2841;1;2900
16/01/2026;5046;1;2067;1;2800
28/01/2026;70146;3;463301;3;12600
28/01/2026;70146;1;1283;1;5500
23/01/2026;5046;1;20403;1;5000
15/01/2026;70548;5;20403;5;30000
5/01/2026;70531;2;688654;2;3000
30/01/2026;5046;2;20455;2;19400
4/01/2026;70548;5;20403;5;45000
27/01/2026;70587;3;675957;3;3200
11/01/2026;70548;1;20455;1;10000
9/01/2026;70548;2;701199;2;13000
6/01/2026;70771;1;650220;1;2000
29/01/2026;70320;1;631161;1;2000
22/01/2026;70548;1;290549;1;1400
4/02/2026;70476;1;461523;1;4200
24/02/2026;70476;2;34113;2;11400
25/02/2026;70531;5;1241;5;1700
18/02/2026;70476;1;650734;1;2300
5/02/2026;70476;1;2841;1;2800
22/02/2026;70476;2;278104;2;4600
7/02/2026;70476;1;273085;1;2300
24/02/2026;5046;1;1852;1;2500
21/02/2026;70587;2;548182;2;2000
7/02/2026;70320;3;851232;3;35000
9/02/2026;70320;1;371927;1;7000
14/02/2026;70320;1;607838;1;3000
22/02/2026;70146;1;2065;1;2800
2/02/2026;70548;1;2895;1;2200
1/02/2026;5046;1;650685;1;7500
22/02/2026;5046;1;277825;1;4600
4/02/2026;70146;3;290942;3;2000
5/02/2026;70587;2;919371;2;1800
15/02/2026;70587;1;371927;1;800
1/03/2026;70146;1;290549;1;2400
14/03/2026;70587;2;753945;2;9000
20/03/2026;5046;4;20403;4;30000
14/03/2026;70476;1;277825;1;2300
12/03/2026;70587;1;273085;1;2500
20/03/2026;70146;1;2904;1;1500
16/03/2026;5046;1;277825;1;2300
21/03/2026;70146;2;1567;2;10000
11/03/2026;70146;1;617305;1;2200
15/03/2026;5046;1;654977;1;3000
10/03/2026;70146;1;1567;1;5000
13/03/2026;70531;1;688654;1;1500
16/03/2026;5046;1;675957;1;4800
16/03/2026;5046;2;20455;2;29100
13/03/2026;70587;4;675957;4;6400
6/03/2026;70531;1;559102;1;1500
1/03/2026;70548;4;20403;4;50000
8/03/2026;70548;1;290549;1;2800
21/03/2026;70146;1;290942;1;500
19/03/2026;70548;1;290549;1;1400
14/03/2026;70906;1;631161;1;2500
5/03/2026;70531;1;2439;1;2000
29/03/2026;5046;1;650685;1;15000
26/03/2026;70587;1;266880;1;8500
27/01/2026;70146;3;675957;3;16500
21/02/2026;5046;2;2895;2;4400
30/03/2026;70587;1;19259;1;1200
7/02/2026;5046;1;265418;1;8500
7/02/2026;70548;2;723096;2;4400
18/01/2026;70587;1;494726;1;4500
6/01/2026;70320;1;59026;1;4500
18/03/2026;5046;3;650685;3;30000
31/03/2026;70548;1;489461;1;6000
2/03/2026;5046;1;2841;1;2900
